Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com
201600000237,16,8,6,600,1,1,1,1,6,454
201600000238,16,8,21,1215,1,2,1,2,1,313
201600000239,16,3,7,1715,1,1,1,8,6,338
201600000240,16,4,22,1815,1,1,1,1,4,491
201600000241,16,8,12,2230,3,1,1,1,1,529
201600000242,16,11,3,1800,2,1,1,1,2,706
201600000243,16,11,21,800,2,1,1,1,6,338
201600000244,16,12,6,745,2,2,1,1,6,736
201600000245,16,3,13,1330,1,1,1,1,1,255
201600000246,16,7,30,1200,1,2,1,1,3,273
201600000247,16,4,1,2315,3,1,1,1,6,889
201600000248,16,4,10,1330,1,1,1,7,7,546
201600000249,16,4,15,1645,1,1,2,8,4,705
201600000250,16,7,3,1530,1,1,1,1,2,899
201600000251,16,7,16,1930,1,1,1,1,5,560
201600000252,16,9,3,1330,1,1,1,1,3,329
201600000253,16,10,23,1915,2,1,1,1,3,54
201600000254,16,3,7,830,1,1,1,4,1,300
201600000255,16,4,17,1400,1,1,1,1,5,235
201600000256,16,12,12,2030,3,1,1,1,1,604
201600000257,16,4,29,1015,1,1,1,1,1,170
201600000258,16,5,4,1945,1,1,3,7,1,793
201600000259,16,5,5,1030,1,2,1,7,7,693
201600000260,16,5,26,1545,1,1,1,1,1,170
201600000261,16,7,28,1730,1,1,1,1,3,693
201600000262,16,10,9,345,5,2,1,1,3,793
201600000263,16,10,12,845,1,2,1,1,6,443
201600000264,16,11,6,1800,3,1,1,1,2,443
201600000265,16,6,29,530,1,2,1,1,7,176
201600000266,16,9,21,2045,3,1,1,1,6,196
201600000267,16,6,30,1000,1,2,1,3,6,364
201600000268,16,12,3,1830,3,1,1,1,1,183
201600000269,16,6,9,1545,1,1,1,1,3,201
201600000270,16,10,8,1930,5,2,1,1,3,318
201600000271,16,10,31,1430,1,2,1,1,6,318
201600000272,16,1,31,1645,1,2,1,2,1,661
201600000273,16,5,29,1400,1,2,1,1,6,552
201600000274,16,2,1,1430,1,1,1,6,1,14
201600000275,16,3,4,845,1,2,1,1,6,721
201600000276,16,4,26,2030,1,1,1,1,6,543
201600000277,16,5,29,1715,1,2,1,1,2,14
201600000278,16,5,27,1800,1,2,1,1,2,14
